id	y							
1	15							
2	17							
20	17							
7	18							
3	19							
8	19							
19	19							
25	19							
26	19							
4	21		 					
12	21						
21	21						
33	21							
9	22							
13	22						
5	23							
10	23							
17	23							
27	23							
35	23							
16	24							
34	24							
11	25							
14	25							
15	25							
28	25							
29	25							
18	27							
23	27							
30	27							
36	28							
22	29							
31	29							
32	29							
24	31							
6	32							
