,id2,geography,totpop2010,totonerace2010,totwhiteonerace2010,pcwhiteonerace2010,PoliticalAffiliation,AvgYearsEduc
1,26163500100,"Census Tract 5001, Wayne County, Michigan",4032,3962,377,9.399999619,Dem,10
2,26163500200,"Census Tract 5002, Wayne County, Michigan",3207,3179,234,7.300000191,Dem,10
3,26163500300,"Census Tract 5003, Wayne County, Michigan",3137,3079,199,6.300000191,Dem,10
4,26163500400,"Census Tract 5004, Wayne County, Michigan",1664,1635,63,3.799999952,Dem,10
5,26163500500,"Census Tract 5005, Wayne County, Michigan",2205,2180,52,2.400000095,Dem,10
6,26163500600,"Census Tract 5006, Wayne County, Michigan",3714,3626,137,3.700000048,Dem,10
7,26163500700,"Census Tract 5007, Wayne County, Michigan",4391,4276,337,7.699999809,Dem,10
8,26163500800,"Census Tract 5008, Wayne County, Michigan",2485,2462,270,10.89999962,Dem,10
9,26163500900,"Census Tract 5009, Wayne County, Michigan",4035,3970,134,3.299999952,Dem,10
10,26163501000,"Census Tract 5010, Wayne County, Michigan",3499,3433,81,2.299999952,Dem,10
11,26163501100,"Census Tract 5011, Wayne County, Michigan",3762,3716,105,2.799999952,Dem,10
12,26163501200,"Census Tract 5012, Wayne County, Michigan",1963,1943,53,2.700000048,Dem,10
13,26163501300,"Census Tract 5013, Wayne County, Michigan",3836,3773,90,2.299999952,Dem,10
14,26163501400,"Census Tract 5014, Wayne County, Michigan",3895,3810,291,7.5,Dem,10
15,26163501500,"Census Tract 5015, Wayne County, Michigan",4095,4034,524,12.80000019,Dem,10
16,26163501600,"Census Tract 5016, Wayne County, Michigan",1997,1928,428,21.39999962,Dem,10
17,26163501700,"Census Tract 5017, Wayne County, Michigan",2357,2287,598,25.39999962,Dem,10
18,26163501800,"Census Tract 5018, Wayne County, Michigan",4448,4294,774,17.39999962,Dem,10
19,26163501900,"Census Tract 5019, Wayne County, Michigan",3055,2997,123,4,Dem,10
20,26163502000,"Census Tract 5020, Wayne County, Michigan",2348,2309,87,3.700000048,Dem,10
21,26163503100,"Census Tract 5031, Wayne County, Michigan",3081,3051,169,5.5,Dem,10
22,26163503200,"Census Tract 5032, Wayne County, Michigan",3817,3728,209,5.5,Dem,10
23,26163503300,"Census Tract 5033, Wayne County, Michigan",4302,4235,146,3.400000095,Dem,10
24,26163503400,"Census Tract 5034, Wayne County, Michigan",1557,1531,76,4.900000095,Dem,10
25,26163503500,"Census Tract 5035, Wayne County, Michigan",3936,3877,113,2.900000095,Dem,10
26,26163503600,"Census Tract 5036, Wayne County, Michigan",1939,1904,94,4.800000191,Dem,10
27,26163503900,"Census Tract 5039, Wayne County, Michigan",2250,2213,36,1.600000024,Dem,10
28,26163504000,"Census Tract 5040, Wayne County, Michigan",1483,1467,36,2.400000095,Dem,10
29,26163504100,"Census Tract 5041, Wayne County, Michigan",1748,1714,37,2.099999905,Dem,10
30,26163504200,"Census Tract 5042, Wayne County, Michigan",2426,2394,17,0.699999988,Dem,10
31,26163504300,"Census Tract 5043, Wayne County, Michigan",2695,2640,68,2.5,Dem,10
32,26163504400,"Census Tract 5044, Wayne County, Michigan",1999,1982,29,1.5,Dem,10
33,26163504700,"Census Tract 5047, Wayne County, Michigan",2097,2071,28,1.299999952,Dem,10
34,26163504800,"Census Tract 5048, Wayne County, Michigan",793,785,44,5.5,Dem,10
35,26163504900,"Census Tract 5049, Wayne County, Michigan",3495,3446,109,3.099999905,Dem,10
36,26163505000,"Census Tract 5050, Wayne County, Michigan",1263,1244,44,3.5,Dem,10
37,26163505100,"Census Tract 5051, Wayne County, Michigan",3776,3730,231,6.099999905,Dem,10
38,26163505200,"Census Tract 5052, Wayne County, Michigan",3348,3299,86,2.599999905,Dem,10
39,26163505400,"Census Tract 5054, Wayne County, Michigan",3001,2941,96,3.200000048,Dem,10
40,26163505500,"Census Tract 5055, Wayne County, Michigan",1472,1456,87,5.900000095,Dem,10
41,26163506100,"Census Tract 5061, Wayne County, Michigan",1921,1893,114,5.900000095,Dem,10
42,26163506200,"Census Tract 5062, Wayne County, Michigan",2285,2258,88,3.900000095,Dem,10
43,26163506300,"Census Tract 5063, Wayne County, Michigan",2352,2303,91,3.900000095,Dem,10
44,26163506400,"Census Tract 5064, Wayne County, Michigan",3095,3060,717,23.20000076,Dem,10
45,26163506500,"Census Tract 5065, Wayne County, Michigan",2256,2210,55,2.400000095,Dem,10
46,26163506600,"Census Tract 5066, Wayne County, Michigan",3240,3183,104,3.200000048,Dem,10
47,26163506700,"Census Tract 5067, Wayne County, Michigan",1229,1209,41,3.299999952,Dem,10
48,26163506800,"Census Tract 5068, Wayne County, Michigan",3865,3797,153,4,Dem,10
49,26163506900,"Census Tract 5069, Wayne County, Michigan",3818,3749,117,3.099999905,Dem,10
50,26163507000,"Census Tract 5070, Wayne County, Michigan",2948,2904,31,1.100000024,Dem,10
51,26163507100,"Census Tract 5071, Wayne County, Michigan",2617,2584,27,1,Dem,10
52,26163507200,"Census Tract 5072, Wayne County, Michigan",1434,1415,18,1.299999952,Dem,10
53,26163507300,"Census Tract 5073, Wayne County, Michigan",2814,2769,30,1.100000024,Dem,10
54,26163507400,"Census Tract 5074, Wayne County, Michigan",3153,3114,54,1.700000048,Dem,10
55,26163507500,"Census Tract 5075, Wayne County, Michigan",2479,2448,98,4,Dem,10
56,26163507800,"Census Tract 5078, Wayne County, Michigan",772,758,65,8.399999619,Dem,10
57,26163507900,"Census Tract 5079, Wayne County, Michigan",2200,2137,271,12.30000019,Dem,10
58,26163508000,"Census Tract 5080, Wayne County, Michigan",1343,1306,263,19.60000038,Dem,10
59,26163508100,"Census Tract 5081, Wayne County, Michigan",2227,2182,190,8.5,Dem,10
60,26163510400,"Census Tract 5104, Wayne County, Michigan",976,958,12,1.200000048,Dem,10
61,26163510500,"Census Tract 5105, Wayne County, Michigan",3723,3621,402,10.80000019,Dem,10
62,26163510600,"Census Tract 5106, Wayne County, Michigan",4206,4007,1299,30.89999962,Dem,10
63,26163510700,"Census Tract 5107, Wayne County, Michigan",1888,1739,1140,60.40000153,Dem,10
64,26163511000,"Census Tract 5110, Wayne County, Michigan",1971,1938,91,4.599999905,Dem,10
65,26163511200,"Census Tract 5112, Wayne County, Michigan",1442,1388,15,1,Dem,10
66,26163511300,"Census Tract 5113, Wayne County, Michigan",2510,2425,539,21.5,Dem,10
67,26163511400,"Census Tract 5114, Wayne County, Michigan",2681,2619,59,2.200000048,Dem,10
68,26163511900,"Census Tract 5119, Wayne County, Michigan",1462,1407,62,4.199999809,Dem,10
69,26163512100,"Census Tract 5121, Wayne County, Michigan",3532,3468,61,1.700000048,Dem,10
70,26163512200,"Census Tract 5122, Wayne County, Michigan",1321,1308,15,1.100000024,Dem,10
71,26163512300,"Census Tract 5123, Wayne County, Michigan",1677,1627,30,1.799999952,Dem,10
72,26163512400,"Census Tract 5124, Wayne County, Michigan",1481,1472,23,1.600000024,Dem,10
73,26163512600,"Census Tract 5126, Wayne County, Michigan",1953,1929,61,3.099999905,Dem,10
74,26163512900,"Census Tract 5129, Wayne County, Michigan",1639,1597,99,6,Dem,10
75,26163513200,"Census Tract 5132, Wayne County, Michigan",1843,1807,224,12.19999981,Dem,10
76,26163513300,"Census Tract 5133, Wayne County, Michigan",2300,2242,244,10.60000038,Dem,10
77,26163513600,"Census Tract 5136, Wayne County, Michigan",1469,1445,65,4.400000095,Dem,10
78,26163513700,"Census Tract 5137, Wayne County, Michigan",3256,3211,52,1.600000024,Dem,10
79,26163513900,"Census Tract 5139, Wayne County, Michigan",2235,2196,34,1.5,Dem,10
80,26163514100,"Census Tract 5141, Wayne County, Michigan",3486,3430,54,1.5,Dem,10
81,26163514200,"Census Tract 5142, Wayne County, Michigan",2726,2689,17,0.600000024,Dem,10
82,26163514300,"Census Tract 5143, Wayne County, Michigan",3075,3043,64,2.099999905,Dem,10
83,26163514500,"Census Tract 5145, Wayne County, Michigan",1416,1403,18,1.299999952,Dem,10
84,26163515200,"Census Tract 5152, Wayne County, Michigan",2032,2007,116,5.699999809,Dem,10
